polarity;category;term_target;start_end;sentence;cleaned_sentence;parsed_sentence;parsed_sentence_list;Spacy_parsed_list
10;negative;FOOD#QUALITY;appetizer of olives;73:92;"The bread we received was horrible - rock hard and cold - and the ""free"" appetizer of olives was disappointing.";bread received horrible rock hard cold free appetizer olives disappointing;[(('disappointing', 'JJ'), 'nsubj', ('bread', 'NN')), (('bread', 'NN'), 'det', ('The', 'DT')), (('bread', 'NN'), 'acl:relcl', ('received', 'VBD')), (('received', 'VBD'), 'nsubj', ('we', 'PRP')), (('received', 'VBD'), 'ccomp', ('rock', 'NN')), (('rock', 'NN'), 'cop', ('was', 'VBD')), (('rock', 'NN'), 'amod', ('horrible', 'JJ')), (('rock', 'NN'), 'amod', ('hard', 'JJ')), (('hard', 'JJ'), 'cc', ('and', 'CC')), (('hard', 'JJ'), 'conj', ('cold', 'JJ')), (('rock', 'NN'), 'cc', ('and', 'CC')), (('rock', 'NN'), 'conj', ('appetizer', 'NN')), (('appetizer', 'NN'), 'det', ('the', 'DT')), (('appetizer', 'NN'), 'amod', ('free', 'JJ')), (('appetizer', 'NN'), 'nmod', ('olives', 'NNS')), (('olives', 'NNS'), 'case', ('of', 'IN')), (('disappointing', 'JJ'), 'cop', ('was', 'VBD'))];appetizer rock the free olives of olives olives appetizer of;appetizer was the free of of appetizer olives olives of
11;negative;FOOD#QUALITY;foods;67:72;We thought that this place is using too much of MSG cooking in the foods.;thought place using much msg cooking foods;[(('thought', 'VBD'), 'nsubj', ('We', 'PRP')), (('thought', 'VBD'), 'ccomp', ('using', 'VBG')), (('using', 'VBG'), 'mark', ('that', 'IN')), (('using', 'VBG'), 'nsubj', ('place', 'NN')), (('place', 'NN'), 'det', ('this', 'DT')), (('using', 'VBG'), 'aux', ('is', 'VBZ')), (('using', 'VBG'), 'advmod', ('much', 'RB')), (('much', 'RB'), 'advmod', ('too', 'RB')), (('using', 'VBG'), 'nmod', ('cooking', 'NNP')), (('cooking', 'NNP'), 'case', ('of', 'IN')), (('cooking', 'NNP'), 'compound', ('MSG', 'NNP')), (('cooking', 'NNP'), 'nmod', ('foods', 'NNS')), (('foods', 'NNS'), 'case', ('in', 'IN')), (('foods', 'NNS'), 'det', ('the', 'DT'))];foods cooking in the;foods in the
12;positive;DRINKS#QUALITY;drinks;12:18;"Always good drinks and service is pretty good;";always good drinks service pretty good;[(('good', 'JJ'), 'nsubj', ('drinks', 'NNS')), (('drinks', 'NNS'), 'compound', ('Always', 'NNP')), (('drinks', 'NNS'), 'amod', ('good', 'JJ')), (('drinks', 'NNS'), 'cc', ('and', 'CC')), (('drinks', 'NNS'), 'conj', ('service', 'NN')), (('good', 'JJ'), 'cop', ('is', 'VBZ')), (('good', 'JJ'), 'advmod', ('pretty', 'RB'))];drinks good always good and service;drinks is always good and service
13;positive;FOOD#QUALITY;rolls;157:162;We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.;particular sushi please every choice included ceviche mix special crab dumplings assorted sashimi sushi rolls two types sake banana tempura;[(('particular', 'JJ'), 'nsubj', ('We', 'PRP')), (('particular', 'JJ'), 'cop', ('are', 'VBP')), (('particular', 'JJ'), 'advmod', ('very', 'RB')), (('particular', 'JJ'), 'nmod', ('sushi', 'NN')), (('sushi', 'NN'), 'case', ('about', 'IN')), (('particular', 'JJ'), 'cc', ('and', 'CC')), (('particular', 'JJ'), 'conj', ('please', 'NN')), (('please', 'NN'), 'cop', ('were', 'VBD')), (('please', 'NN'), 'det', ('both', 'DT')), (('please', 'NN'), 'nmod', ('choice', 'NN')), (('choice', 'NN'), 'case', ('with', 'IN')), (('choice', 'NN'), 'det', ('every', 'DT')), (('choice', 'NN'), 'acl:relcl', ('included', 'VBD')), (('included', 'VBD'), 'nsubj', ('which', 'WDT')), (('included', 'VBD'), 'xcomp', ('sushi', 'NN')), (('sushi', 'NN'), 'nsubj', ('dumplings', 'NNS')), (('dumplings', 'NNS'), 'amod', ('ceviche', 'JJ')), (('dumplings', 'NNS'), 'compound', ('mix', 'NN')), (('dumplings', 'NNS'), 'amod', ('special', 'JJ')), (('dumplings', 'NNS'), 'compound', ('crab', 'NN')), (('sushi', 'NN'), 'amod', ('assorted', 'JJ')), (('sushi', 'NN'), 'compound', ('sashimi', 'NN')), (('included', 'VBD'), 'cc', ('and', 'CC')), (('included', 'VBD'), 'conj', ('rolls', 'VBZ')), (('rolls', 'VBZ'), 'dobj', ('types', 'NNS')), (('types', 'NNS'), 'nummod', ('two', 'CD')), (('types', 'NNS'), 'nmod', ('sake', 'NN')), (('sake', 'NN'), 'case', ('of', 'IN')), (('sake', 'NN'), 'cc', ('and', 'CC')), (('sake', 'NN'), 'conj', ('tempura', 'NN')), (('tempura', 'NN'), 'det', ('the', 'DT')), (('tempura', 'NN'), 'compound', ('banana', 'NN'))];rolls included types;rolls assorted types
14;positive;FOOD#QUALITY;Prix Fixe menu;4:18;The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).;prix fixe menu worth every penny get enough quantity quality;[(('worth', 'JJ'), 'nsubj', ('menu', 'NN')), (('menu', 'NN'), 'det', ('The', 'DT')), (('menu', 'NN'), 'compound', ('Prix', 'NNP')), (('menu', 'NN'), 'compound', ('Fixe', 'NNP')), (('worth', 'JJ'), 'cop', ('is', 'VBZ')), (('worth', 'JJ'), 'ccomp', ('get', 'VBP')), (('get', 'VBP'), 'nsubj', ('penny', 'NN')), (('penny', 'NN'), 'det', ('every', 'DT')), (('penny', 'NN'), 'cc', ('and', 'CC')), (('penny', 'NN'), 'conj', ('you', 'PRP')), (('get', 'VBP'), 'advmod', ('enough', 'RB')), (('enough', 'RB'), 'advmod', ('more', 'RBR')), (('enough', 'RB'), 'case', ('than', 'IN')), (('get', 'VBP'), 'nmod', ('quantity', 'NN')), (('quantity', 'NN'), 'dep', ('both', 'DT')), (('quantity', 'NN'), 'case', ('in', 'IN')), (('quantity', 'NN'), 'cc', ('AND', 'CC')), (('quantity', 'NN'), 'conj', ('quality', 'NN'))];prix menu fixe menu menu worth the prix fixe;prix fixe fixe menu prix menu is the fixe
15;positive;FOOD#QUALITY;scallops;11:19;We had the scallops as an appetizer and they were delicious and the sauce was wonderful.;scallops appetizer delicious sauce wonderful;[(('had', 'VBD'), 'nsubj', ('We', 'PRP')), (('had', 'VBD'), 'dobj', ('scallops', 'NNS')), (('scallops', 'NNS'), 'det', ('the', 'DT')), (('scallops', 'NNS'), 'nmod', ('appetizer', 'NN')), (('appetizer', 'NN'), 'case', ('as', 'IN')), (('appetizer', 'NN'), 'det', ('an', 'DT')), (('appetizer', 'NN'), 'cc', ('and', 'CC')), (('appetizer', 'NN'), 'conj', ('delicious', 'JJ')), (('delicious', 'JJ'), 'nsubj', ('they', 'PRP')), (('delicious', 'JJ'), 'cop', ('were', 'VBD')), (('delicious', 'JJ'), 'cc', ('and', 'CC')), (('delicious', 'JJ'), 'conj', ('wonderful', 'JJ')), (('wonderful', 'JJ'), 'nsubj', ('sauce', 'NN')), (('sauce', 'NN'), 'det', ('the', 'DT')), (('wonderful', 'JJ'), 'cop', ('was', 'VBD'))];scallops had the appetizer;scallops had the as
16;positive;AMBIENCE#GENERAL;Ambience;0:8;Ambience is so cute and quaint, good for business although we were there on vacation.;ambience cute quaint good business although vacation;[(('cute', 'JJ'), 'advmod', ('Ambience', 'RB')), (('cute', 'JJ'), 'cop', ('is', 'VBZ')), (('cute', 'JJ'), 'advmod', ('so', 'RB')), (('cute', 'JJ'), 'cc', ('and', 'CC')), (('cute', 'JJ'), 'conj', ('good', 'JJ')), (('good', 'JJ'), 'amod', ('quaint', 'JJ')), (('cute', 'JJ'), 'nmod', ('business', 'NN')), (('business', 'NN'), 'case', ('for', 'IN')), (('cute', 'JJ'), 'dep', ('vacation', 'NN')), (('vacation', 'NN'), 'mark', ('although', 'IN')), (('vacation', 'NN'), 'nsubj', ('we', 'PRP')), (('vacation', 'NN'), 'cop', ('were', 'VBD')), (('vacation', 'NN'), 'advmod', ('there', 'RB')), (('vacation', 'NN'), 'case', ('on', 'IN'))];ambience cute;ambience is
17;positive;AMBIENCE#GENERAL;late night atmosphere;34:55;But the best part about LS is the late night atmosphere, delightfully free of the BTs.;but best part ls late night atmosphere delightfully free bts;[(('LS', 'VBP'), 'cc', ('But', 'CC')), (('LS', 'VBP'), 'nsubj', ('part', 'NN')), (('part', 'NN'), 'det', ('the', 'DT')), (('part', 'NN'), 'amod', ('best', 'JJS')), (('LS', 'VBP'), 'advmod', ('about', 'RB')), (('LS', 'VBP'), 'ccomp', ('atmosphere', 'NN')), (('atmosphere', 'NN'), 'cop', ('is', 'VBZ')), (('atmosphere', 'NN'), 'det', ('the', 'DT')), (('atmosphere', 'NN'), 'amod', ('late', 'JJ')), (('atmosphere', 'NN'), 'compound', ('night', 'NN')), (('atmosphere', 'NN'), 'amod', ('free', 'JJ')), (('free', 'JJ'), 'advmod', ('delightfully', 'RB')), (('atmosphere', 'NN'), 'nmod', ('BTs', 'NNP')), (('BTs', 'NNP'), 'case', ('of', 'IN')), (('BTs', 'NNP'), 'det', ('the', 'DT'))];late atmosphere night atmosphere atmosphere ls is the late night free bts;late night night atmosphere late atmosphere is the night free
18;positive;FOOD#QUALITY;pear torte;22:32;The dessert (we had a pear torte) was good - but, once again, the staff was unable to provide appropriate drink suggestions.;dessert pear torte good but staff unable provide appropriate drink suggestions;[(('unable', 'JJ'), 'nsubj', ('dessert', 'NN')), (('dessert', 'NN'), 'det', ('The', 'DT')), (('dessert', 'NN'), 'acl:relcl', ('had', 'VBD')), (('had', 'VBD'), 'nsubj', ('we', 'PRP')), (('had', 'VBD'), 'dobj', ('torte', 'NN')), (('torte', 'NN'), 'det', ('a', 'DT')), (('torte', 'NN'), 'compound', ('pear', 'NN')), (('torte', 'NN'), 'acl:relcl', ('good', 'JJ')), (('good', 'JJ'), 'cop', ('was', 'VBD')), (('good', 'JJ'), 'dep', ('once', 'RB')), (('once', 'RB'), 'cc', ('but', 'CC')), (('once', 'RB'), 'dep', ('again', 'RB')), (('again', 'RB'), 'nmod:npmod', ('staff', 'NN')), (('staff', 'NN'), 'det', ('the', 'DT')), (('unable', 'JJ'), 'cop', ('was', 'VBD')), (('unable', 'JJ'), 'xcomp', ('provide', 'VB')), (('provide', 'VB'), 'mark', ('to', 'TO')), (('provide', 'VB'), 'dobj', ('suggestions', 'NNS')), (('suggestions', 'NNS'), 'amod', ('appropriate', 'JJ')), (('suggestions', 'NNS'), 'compound', ('drink', 'NN'))];pear torte torte had a pear good;pear torte torte had a pear
19;positive;FOOD#QUALITY;spicy Italian cheese;70:90;The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.;pesto pizza excellent thin crust pizza nice amount spicy italian cheese never heard;[(('pizza', 'NN'), 'nsubj', ('pizza', 'NN')), (('pizza', 'NN'), 'det', ('The', 'DT')), (('pizza', 'NN'), 'compound', ('pesto', 'NN')), (('pizza', 'NN'), 'cop', ('was', 'VBD')), (('pizza', 'NN'), 'amod', ('excellent', 'JJ')), (('pizza', 'NN'), 'amod', ('thin', 'JJ')), (('pizza', 'NN'), 'compound', ('crust', 'NN')), (('pizza', 'NN'), 'nmod', ('amount', 'NN')), (('amount', 'NN'), 'case', ('with', 'IN')), (('amount', 'NN'), 'det', ('a', 'DT')), (('amount', 'NN'), 'amod', ('nice', 'JJ')), (('amount', 'NN'), 'nmod', ('cheese', 'NN')), (('cheese', 'NN'), 'case', ('of', 'IN')), (('cheese', 'NN'), 'amod', ('spicy', 'JJ')), (('cheese', 'NN'), 'amod', ('Italian', 'JJ')), (('pizza', 'NN'), 'ccomp', ('heard', 'VBN')), (('heard', 'VBN'), 'mark', ('that', 'IN')), (('heard', 'VBN'), 'nsubj', ('I', 'PRP')), (('heard', 'VBN'), 'advmod', ('d', 'RB')), (('heard', 'VBN'), 'neg', ('never', 'RB')), (('heard', 'VBN'), 'advcl', ('before', 'RB')), (('before', 'RB'), 'case', ('of', 'IN'))];spicy cheese italian cheese cheese amount of spicy italian;spicy cheese italian cheese cheese of spicy italian
20;positive;FOOD#QUALITY;filet;34:39;I had fish and my husband had the filet - both of which exceeded our expectations.;fish husband filet exceeded expectations;[(('had', 'VBD'), 'nsubj', ('I', 'PRP')), (('had', 'VBD'), 'dobj', ('fish', 'NN')), (('fish', 'NN'), 'cc', ('and', 'CC')), (('fish', 'NN'), 'conj', ('husband', 'NN')), (('husband', 'NN'), 'nmod:poss', ('my', 'PRP$')), (('husband', 'NN'), 'acl', ('had', 'VBN')), (('had', 'VBN'), 'dobj', ('filet', 'NN')), (('filet', 'NN'), 'det', ('the', 'DT')), (('filet', 'NN'), 'acl:relcl', ('exceeded', 'VBD')), (('exceeded', 'VBD'), 'nsubj', ('which', 'WDT')), (('which', 'WDT'), 'dep', ('both', 'DT')), (('which', 'WDT'), 'case', ('of', 'IN')), (('exceeded', 'VBD'), 'dobj', ('expectations', 'NNS')), (('expectations', 'NNS'), 'nmod:poss', ('our', 'PRP$'))];filet had the exceeded;filet had the exceeded
21;negative;FOOD#QUALITY;quesadilla;3:13;My quesadilla tasted like it had been made by a three-year old with no sense of proportion or flavor.;quesadilla tasted like made three year old no sense proportion flavor;[(('tasted', 'VBD'), 'nsubj', ('quesadilla', 'NN')), (('quesadilla', 'NN'), 'nmod:poss', ('My', 'PRP$')), (('tasted', 'VBD'), 'advcl', ('made', 'VBN')), (('made', 'VBN'), 'mark', ('like', 'IN')), (('made', 'VBN'), 'nsubjpass', ('it', 'PRP')), (('made', 'VBN'), 'aux', ('had', 'VBD')), (('made', 'VBN'), 'auxpass', ('been', 'VBN')), (('made', 'VBN'), 'nmod', ('year', 'NN')), (('year', 'NN'), 'case', ('by', 'IN')), (('year', 'NN'), 'det', ('a', 'DT')), (('year', 'NN'), 'nummod', ('three', 'CD')), (('year', 'NN'), 'amod', ('old', 'JJ')), (('old', 'JJ'), 'nmod', ('sense', 'NN')), (('sense', 'NN'), 'case', ('with', 'IN')), (('sense', 'NN'), 'neg', ('no', 'DT')), (('sense', 'NN'), 'nmod', ('proportion', 'NN')), (('proportion', 'NN'), 'case', ('of', 'IN')), (('proportion', 'NN'), 'cc', ('or', 'CC')), (('proportion', 'NN'), 'conj', ('flavor', 'NN'))];quesadilla tasted my;quesadilla made my tasted
22;negative;RESTAURANT#MISCELLANEOUS;place;5:10;This place is incredibly tiny.;place incredibly tiny;[(('tiny', 'JJ'), 'nsubj', ('place', 'NN')), (('place', 'NN'), 'det', ('This', 'DT')), (('tiny', 'JJ'), 'cop', ('is', 'VBZ')), (('tiny', 'JJ'), 'advmod', ('incredibly', 'RB'))];place tiny this;place is this
23;positive;FOOD#QUALITY;food;12:16;I found the food to be outstanding, particulary the salmon dish I had.;found food outstanding particulary salmon dish;[(('found', 'VBD'), 'nsubj', ('I', 'PRP')), (('found', 'VBD'), 'dobj', ('food', 'NN')), (('food', 'NN'), 'det', ('the', 'DT')), (('found', 'VBD'), 'advcl', ('outstanding', 'JJ')), (('outstanding', 'JJ'), 'mark', ('to', 'TO')), (('outstanding', 'JJ'), 'cop', ('be', 'VB')), (('outstanding', 'JJ'), 'advmod', ('particulary', 'RB')), (('found', 'VBD'), 'dobj', ('dish', 'NN')), (('dish', 'NN'), 'det', ('the', 'DT')), (('dish', 'NN'), 'compound', ('salmon', 'NN')), (('dish', 'NN'), 'acl:relcl', ('had', 'VBD')), (('had', 'VBD'), 'nsubj', ('I', 'PRP'))];food found the;food be the dish
24;positive;SERVICE#GENERAL;Service;0:7;Service was prompt and courteous.;service prompt courteous;[(('prompt', 'JJ'), 'nsubj', ('Service', 'NNP')), (('prompt', 'JJ'), 'cop', ('was', 'VBD')), (('prompt', 'JJ'), 'cc', ('and', 'CC')), (('prompt', 'JJ'), 'conj', ('courteous', 'JJ'))];service prompt;service was
25;positive;FOOD#QUALITY;bagels;10:16;delicious bagels, especially when right out of the oven.;delicious bagels especially right oven;[(('when', 'WRB'), 'advmod', ('especially', 'RB')), (('especially', 'RB'), 'nmod:npmod', ('bagels', 'NNS')), (('bagels', 'NNS'), 'nummod', ('delicious', 'CD')), (('when', 'WRB'), 'nmod', ('oven', 'NN')), (('oven', 'NN'), 'advmod', ('right', 'RB')), (('right', 'RB'), 'case', ('out', 'IN')), (('oven', 'NN'), 'case', ('of', 'IN')), (('oven', 'NN'), 'det', ('the', 'DT'))];bagels especially delicious;bagels bagels delicious right
26;negative;RESTAURANT#GENERAL;restaurant;20:30;I have never left a restaurant feeling as if i was abused, and wasted my hard earned money.;never left restaurant feeling abused wasted hard earned money;[(('left', 'VBN'), 'nsubj', ('I', 'PRP')), (('left', 'VBN'), 'aux', ('have', 'VBP')), (('left', 'VBN'), 'neg', ('never', 'RB')), (('left', 'VBN'), 'dobj', ('feeling', 'NN')), (('feeling', 'NN'), 'det', ('a', 'DT')), (('feeling', 'NN'), 'compound', ('restaurant', 'NN')), (('left', 'VBN'), 'advcl', ('abused', 'JJ')), (('abused', 'JJ'), 'mark', ('as', 'RB')), (('as', 'RB'), 'mwe', ('if', 'IN')), (('abused', 'JJ'), 'nsubjpass', ('i', 'FW')), (('abused', 'JJ'), 'auxpass', ('was', 'VBD')), (('abused', 'JJ'), 'cc', ('and', 'CC')), (('abused', 'JJ'), 'conj', ('wasted', 'VBN')), (('abused', 'JJ'), 'dobj', ('money', 'NN')), (('money', 'NN'), 'nmod:poss', ('my', 'PRP$')), (('money', 'NN'), 'amod', ('hard', 'JJ')), (('hard', 'JJ'), 'ccomp', ('earned', 'VBD'))];restaurant feeling;restaurant feeling
